Prefecture,Category,RestaurantCount
Tokyo,Izakaya,"27,593"
Tokyo,Cafe,"15,365"
Tokyo,Bar,"14,701"
Tokyo,Tempura,"9,512"
Tokyo,Yakitori,"6,451"
Tokyo,Ramen,"6,402"
Tokyo,Sushi,"5,020"
Tokyo,BBQ,"4,439"
Tokyo,Tonkatsu,"1,289"
Osaka,Izakaya,"13,329"
Osaka,Cafe,"5,079"
Osaka,Seafood,"3,844"
Osaka,Bar,"2,953"
Osaka,BBQ,"2,918"
Osaka,Sushi,"2,705"
Osaka,Ramen,"2,501"
Osaka,Tempura,720
Osaka,Tonkatsu,469
Kanagawa,Izakaya,"7,628"
Kanagawa,Cafe,"3,724"
Kanagawa,Ramen,"2,762"
Kanagawa,Seafood,"2,312"
Kanagawa,Yakitori,"2,180"
Kanagawa,Sushi,"1,866"
Kanagawa,BBQ,"1,568"
Kanagawa,Soba,"1,466"
Kanagawa,Bar,"1,431"
Aichi,Izakaya,"6,721"
Aichi,Cafe,"3,938"
Aichi,Ramen,"2,278"
Aichi,Seafood,"2,023"
Aichi,Sushi,"1,888"
Aichi,BBQ,"1,790"
Aichi,Yakitori,"1,402"
Aichi,Udon,"1,350"
Aichi,Bar,963
Hokkaido,Izakaya,"6,394"
Hokkaido,Cafe,"3,128"
Hokkaido,Ramen,"3,086"
Hokkaido,Seafood,"1,878"
Hokkaido,BBQ,"1,756"
Hokkaido,Sushi,"1,586"
Hokkaido,Yakitori,"1,536"
Hokkaido,Soba,"1,481"
Hokkaido,Bar,"1,356"
Hyogo,Izakaya,"4,830"
Hyogo,Cafe,"3,183"
Hyogo,Seafood,"1,620"
Hyogo,Yakitori,"1,465"
Hyogo,BBQ,"1,445"
Hyogo,Sushi,"1,395"
Hyogo,Ramen,"1,168"
Hyogo,Bar,"1,069"
Hyogo,Tempura,279
Kyoto,Izakaya,"4,820"
Kyoto,Ramen,"2,300"
Kyoto,Cafe,"2,020"
Kyoto,Udon,"1,905"
Kyoto,Yakitori,"1,501"
Kyoto,Sushi,"1,425"
Kyoto,BBQ,"1,021"
Kyoto,Seafood,"1,004"
Kyoto,Bar,556
Fukuoka,Izakaya,"6,095"
Fukuoka,Yakitori,"2,431"
Fukuoka,Cafe,"2,327"
Fukuoka,Bar,"1,946"
Fukuoka,Seafood,"1,867"
Fukuoka,Ramen,"1,684"
Fukuoka,Hot Pot,"1,237"
Fukuoka,Sushi,"1,161"
Fukuoka,Tempura,316
Other,Izakaya,"127,364"
Other,Cafe,"109,917"
Other,Ramen,"48,888"
Other,Seafood,"37,326"
Other,Sushi,"32,667"
Other,Yakitori,"32,628"
Other,BBQ,"28,251"
Other,Soba,"26,311"
Other,Bar,"25,130"
