dinner_max_price,dinner_start_price,lunch_max_price,lunch_start_price,rating
999,999,999,999,3.54
3999,3000,0,0,3.05
3999,3000,0,0,3.08
3999,3000,999,999,3.47
0,0,1999,1000,3.17
4999,4000,0,0,3.20
2999,2000,999,999,3.18
3999,3000,0,0,3.04
1999,1000,0,0,3.49
999,999,999,999,3.02
1999,1000,0,0,3.04
3999,3000,999,999,3.18
2999,2000,1999,1000,3.48
999,999,999,999,3.03
1999,1000,999,999,3.52
1999,1000,1999,1000,3.44
999,999,999,999,3.53
999,999,999,999,3.56
3999,3000,0,0,3.09
2999,2000,0,0,3.57
0,0,999,999,3.29
0,0,999,999,3.68
999,999,999,999,3.54
0,0,999,999,3.31
1999,1000,999,999,3.24
999,999,999,999,3.21
0,0,999,999,3.25
0,0,999,999,3.28
999,999,999,999,3.34
999,999,999,999,3.72
999,999,999,999,3.40
0,0,999,999,3.42
999,999,999,999,3.02
999,999,1999,1000,3.24
999,999,999,999,3.49
2999,2000,1999,1000,3.38
999,999,1999,1000,3.48
0,0,999,999,3.25
999,999,999,999,3.14
999,999,999,999,3.06
999,999,999,999,3.27
999,999,999,999,3.24
999,999,999,999,3.50
1999,1000,999,999,3.30
1999,1000,999,999,3.03
0,0,999,999,3.32
999,999,999,999,3.03
999,999,999,999,3.56
0,0,1999,1000,3.39
1999,1000,0,0,3.08
999,999,999,999,3.72
0,0,1999,1000,3.32
999,999,999,999,3.02
999,999,999,999,3.44
999,999,999,999,3.23
999,999,999,999,3.43
1999,1000,999,999,3.37
999,999,999,999,3.75
999,999,999,999,3.43
0,0,999,999,3.43
0,0,999,999,3.32
0,0,999,999,3.24
999,999,999,999,3.51
0,0,999,999,3.73
999,999,999,999,3.45
0,0,999,999,3.62
999,999,999,999,3.01
0,0,999,999,3.32
1999,1000,999,999,3.04
999,999,999,999,3.44
0,0,1999,1000,3.40
999,999,999,999,3.53
999,999,999,999,3.36
3999,3000,1999,1000,3.45
999,999,999,999,3.53
999,999,999,999,3.62
999,999,0,0,3.33
999,999,999,999,3.58
999,999,999,999,3.39
0,0,999,999,3.50
0,0,999,999,3.21
999,999,0,0,3.25
999,999,999,999,3.27
999,999,999,999,3.14
999,999,999,999,3.49
999,999,999,999,3.42
999,999,999,999,3.58
999,999,999,999,3.43
999,999,999,999,3.52
999,999,999,999,3.47
999,999,999,999,3.51
0,0,1999,1000,3.25
999,999,999,999,3.19
999,999,999,999,3.39
0,0,999,999,3.48
999,999,999,999,3.26
999,999,999,999,3.14
2999,2000,999,999,3.13
999,999,999,999,3.64
2999,2000,999,999,3.41
0,0,999,999,3.37
999,999,999,999,3.33
3999,3000,999,999,3.50
999,999,999,999,3.21
0,0,1999,1000,3.41
999,999,999,999,3.23
999,999,999,999,3.24
999,999,999,999,3.55
999,999,999,999,3.28
999,999,999,999,3.33
0,0,1999,1000,3.41
999,999,999,999,3.40
999,999,999,999,3.50
999,999,999,999,3.32
0,0,999,999,3.04
999,999,999,999,3.02
0,0,999,999,3.12
0,0,999,999,3.35
4999,4000,1999,1000,3.28
1999,1000,999,999,3.42
999,999,999,999,3.58
2999,2000,1999,1000,3.31
3999,3000,1999,1000,3.48
1999,1000,999,999,3.59
999,999,999,999,3.17
999,999,999,999,3.58
999,999,999,999,3.65
1999,1000,999,999,3.40
2999,2000,999,999,3.30
2999,2000,999,999,3.32
0,0,999,999,3.37
999,999,999,999,3.48
0,0,1999,1000,3.24
999,999,999,999,3.21
0,0,999,999,3.30
1999,1000,999,999,3.15
1999,1000,999,999,3.24
