dinner_max_price,dinner_start_price,lunch_max_price,lunch_start_price,rating
3999,3000,999,999,3.34
999,999,999,999,3.25
999,999,999,999,3.54
999,999,999,999,3.02
1999,1000,1999,1000,3.39
0,0,999,999,3.15
2999,2000,0,0,3.06
999,999,999,999,3.54
1999,1000,1999,1000,3.48
0,0,999,999,3.87
999,999,999,999,3.54
1999,1000,999,999,3.26
999,999,999,999,3.48
1999,1000,1999,1000,3.50
999,999,999,999,3.69
999,999,999,999,3.61
999,999,999,999,3.63
999,999,999,999,3.60
999,999,999,999,3.49
999,999,999,999,3.60
1999,1000,999,999,3.47
999,999,999,999,3.55
999,999,0,0,3.60
999,999,999,999,3.50
1999,1000,1999,1000,3.26
999,999,999,999,3.65
1999,1000,999,999,3.59
999,999,999,999,3.50
1999,1000,1999,1000,3.74
999,999,999,999,3.72
999,999,999,999,3.75
4999,4000,999,999,3.48
1999,1000,999,999,3.45
2999,2000,0,0,3.57
4999,4000,999,999,3.18
2999,2000,999,999,3.07
1999,1000,999,999,3.24
3999,3000,999,999,3.04
3999,3000,0,0,3.27
2999,2000,0,0,3.22
3999,3000,0,0,3.41
3999,3000,999,999,3.14
1999,1000,999,999,3.26
3999,3000,999,999,3.18
2999,2000,999,999,3.36
999,999,999,999,3.38
999,999,999,999,3.14
2999,2000,999,999,3.41
0,0,999,999,3.44
9999,8000,0,0,3.47
3999,3000,0,0,3.51
2999,2000,999,999,3.47
3999,3000,999,999,3.06
4999,4000,999,999,3.45
4999,4000,0,0,3.14
3999,3000,999,999,3.23
2999,2000,999,999,3.32
2999,2000,999,999,3.07
7999,6000,1999,1000,3.46
5999,5000,1999,1000,3.50
3999,3000,999,999,3.26
3999,3000,0,0,3.04
2999,2000,999,999,3.07
3999,3000,999,999,3.04
2999,2000,999,999,3.15
4999,4000,1999,1000,3.23
3999,3000,0,0,3.08
3999,3000,1999,1000,3.18
999,999,999,999,3.14
2999,2000,0,0,3.13
3999,3000,1999,1000,3.41
3999,3000,999,999,3.44
3999,3000,1999,1000,3.09
3999,3000,1999,1000,3.48
2999,2000,999,999,3.21
2999,2000,999,999,3.44
1999,1000,999,999,3.23
3999,3000,999,999,3.06
4999,4000,999,999,3.37
2999,2000,1999,1000,3.23
1999,1000,999,999,3.11
2999,2000,999,999,3.22
2999,2000,999,999,3.37
2999,2000,999,999,3.25
3999,3000,999,999,3.05
2999,2000,999,999,3.24
4999,4000,1999,1000,3.51
5999,5000,999,999,3.22
1999,1000,999,999,3.43
2999,2000,999,999,3.01
2999,2000,999,999,3.58
2999,2000,999,999,3.46
2999,2000,999,999,3.06
3999,3000,1999,1000,3.09
