dinner_max_price,dinner_start_price,lunch_max_price,lunch_start_price,rating
4999,4000,0,0,3.07
7999,6000,0,0,3.33
7999,6000,0,0,3.06
4999,4000,3999,3000,3.12
3999,3000,1999,1000,3.16
4999,4000,0,0,3.25
2999,2000,1999,1000,3.30
3999,3000,999,999,3.06
5999,5000,0,0,3.59
19999,15000,19999,15000,3.53
5999,5000,1999,1000,3.46
3999,3000,0,0,3.05
4999,4000,0,0,3.21
7999,6000,2999,2000,3.45
4999,4000,0,0,3.06
14999,10000,5999,5000,3.62
3999,3000,0,0,3.39
3999,3000,0,0,3.44
3999,3000,2999,2000,3.43
3999,3000,999,999,3.07
0,0,1999,1000,3.40
2999,2000,1999,1000,3.20
1999,1000,1999,1000,3.14
0,0,1999,1000,3.39
14999,10000,0,0,3.41
0,0,2999,2000,3.21
5999,5000,0,0,3.22
4999,4000,1999,1000,3.29
2999,2000,2999,2000,3.42
1999,1000,1999,1000,3.03
999,999,999,999,3.33
9999,8000,7999,6000,3.62
0,0,3999,3000,3.56
1999,1000,999,999,3.01
0,0,4999,4000,3.36
0,0,999,999,3.28
2999,2000,2999,2000,3.25
1999,1000,999,999,3.42
7999,6000,1999,1000,3.55
3999,3000,2999,2000,3.61
3999,3000,3999,3000,3.10
19999,15000,0,0,3.08
3999,3000,1999,1000,3.18
9999,8000,1999,1000,3.52
2999,2000,1999,1000,3.49
29999,20000,0,0,3.18
3999,3000,0,0,3.35
14999,10000,0,0,3.52
5999,5000,1999,1000,4.07
29999,20000,29999,20000,3.59
1999,1000,999,999,3.08
9999,8000,0,0,3.48
3999,3000,1999,1000,3.13
5999,5000,1999,1000,3.48
5999,5000,1999,1000,3.50
1999,1000,999,999,3.54
9999,8000,0,0,3.08
14999,10000,0,0,3.71
5999,5000,3999,3000,3.54
1999,1000,1999,1000,3.64
2999,2000,1999,1000,3.07
3999,3000,1999,1000,3.29
3999,3000,0,0,3.35
5999,5000,999,999,3.42
3999,3000,1999,1000,3.44
2999,2000,999,999,3.45
4999,4000,0,0,3.20
3999,3000,1999,1000,3.45
1999,1000,999,999,3.32
14999,10000,0,0,3.81
14999,10000,9999,8000,3.78
39999,30000,0,0,4.55
2999,2000,999,999,3.46
0,0,2999,2000,3.32
0,0,2999,2000,3.32
2999,2000,1999,1000,3.35
999,999,1999,1000,3.22
1999,1000,1999,1000,3.39
1999,1000,999,999,3.07
19999,15000,0,0,3.52
19999,15000,14999,10000,4.09
0,0,1999,1000,3.32
0,0,5999,5000,3.50
1999,1000,1999,1000,3.44
19999,15000,19999,15000,3.99
9999,8000,1999,1000,3.33
4999,4000,0,0,3.32
4999,4000,3999,3000,3.34
1999,1000,1999,1000,3.58
3999,3000,0,0,3.28
2999,2000,1999,1000,3.26
2999,2000,0,0,3.04
7999,6000,0,0,3.36
9999,8000,0,0,3.30
0,0,999,999,3.18
39999,30000,9999,8000,3.14
14999,10000,0,0,3.35
0,0,1999,1000,3.28
2999,2000,1999,1000,3.01
3999,3000,0,0,3.06
1999,1000,1999,1000,3.37
2999,2000,1999,1000,3.06
1999,1000,1999,1000,3.45
1999,1000,1999,1000,3.03
1999,1000,999,999,3.33
2999,2000,0,0,3.27
2999,2000,2999,2000,3.41
0,0,2999,2000,3.21
4999,4000,1999,1000,3.53
0,0,999,999,3.57
4999,4000,3999,3000,3.41
1999,1000,999,999,3.04
14999,10000,0,0,3.49
2999,2000,5999,5000,3.23
3999,3000,1999,1000,3.51
29999,20000,0,0,4.00
14999,10000,3999,3000,3.26
0,0,1999,1000,3.44
1999,1000,1999,1000,3.14
9999,8000,4999,4000,3.53
3999,3000,2999,2000,3.41
14999,10000,0,0,3.53
2999,2000,1999,1000,3.33
4999,4000,1999,1000,3.46
19999,15000,0,0,3.69
3999,3000,0,0,3.20
4999,4000,0,0,3.35
3999,3000,0,0,3.52
14999,10000,0,0,3.42
3999,3000,1999,1000,3.38
4999,4000,0,0,3.54
4999,4000,0,0,3.39
3999,3000,1999,1000,3.50
7999,6000,3999,3000,3.12
3999,3000,1999,1000,3.48
3999,3000,2999,2000,3.08
5999,5000,0,0,3.02
7999,6000,1999,1000,3.11
2999,2000,999,999,3.28
19999,15000,5999,5000,3.34
4999,4000,0,0,3.19
19999,15000,0,0,3.41
3999,3000,0,0,3.27
7999,6000,0,0,3.52
5999,5000,0,0,3.51
2999,2000,0,0,3.48
14999,10000,0,0,3.51
14999,10000,0,0,3.54
7999,6000,2999,2000,3.25
5999,5000,0,0,3.27
3999,3000,0,0,3.33
19999,15000,0,0,3.61
7999,6000,0,0,3.44
3999,3000,0,0,3.45
3999,3000,2999,2000,3.41
3999,3000,2999,2000,3.54
14999,10000,0,0,3.53
3999,3000,2999,2000,3.45
19999,15000,4999,4000,3.37
5999,5000,0,0,3.13
3999,3000,0,0,3.03
5999,5000,0,0,3.37
14999,10000,4999,4000,3.44
2999,2000,0,0,3.32
3999,3000,0,0,3.03
3999,3000,0,0,3.52
7999,6000,0,0,3.36
5999,5000,1999,1000,3.56
5999,5000,999,999,3.45
5999,5000,0,0,3.26
3999,3000,0,0,3.06
3999,3000,1999,1000,3.14
3999,3000,999,999,3.29
4999,4000,999,999,3.25
3999,3000,0,0,3.37
9999,8000,0,0,3.04
1999,1000,1999,1000,3.08
0,0,1999,1000,3.35
1999,1000,1999,1000,3.47
1999,1000,999,999,3.18
0,0,1999,1000,3.33
9999,8000,0,0,3.45
3999,3000,0,0,3.36
4999,4000,0,0,3.43
3999,3000,3999,3000,3.50
5999,5000,1999,1000,3.50
2999,2000,1999,1000,3.34
5999,5000,0,0,3.25
1999,1000,2999,2000,3.48
14999,10000,2999,2000,3.49
0,0,2999,2000,3.70
4999,4000,0,0,3.34
14999,10000,3999,3000,3.71
0,0,999,999,3.45
2999,2000,1999,1000,3.18
1999,1000,1999,1000,3.24
3999,3000,1999,1000,3.37
999,999,0,0,3.09
4999,4000,999,999,3.33
0,0,999,999,3.49
999,999,999,999,3.25
4999,4000,999,999,3.29
5999,5000,2999,2000,3.53
2999,2000,1999,1000,3.37
5999,5000,2999,2000,3.49
1999,1000,999,999,3.05
0,0,1999,1000,3.22
7999,6000,999,999,3.46
2999,2000,1999,1000,3.37
1999,1000,1999,1000,3.20
0,0,1999,1000,3.24
2999,2000,2999,2000,3.08
9999,8000,0,0,3.63
4999,4000,1999,1000,3.24
5999,5000,1999,1000,3.35
5999,5000,0,0,3.54
2999,2000,0,0,3.04
9999,8000,0,0,3.37
0,0,999,999,3.19
0,0,999,999,3.27
2999,2000,2999,2000,3.34
2999,2000,1999,1000,3.44
3999,3000,1999,1000,3.41
7999,6000,2999,2000,3.51
2999,2000,2999,2000,3.03
3999,3000,0,0,3.24
2999,2000,2999,2000,3.05
7999,6000,1999,1000,3.53
0,0,1999,1000,3.31
0,0,2999,2000,3.38
29999,20000,0,0,3.56
2999,2000,2999,2000,3.03
14999,10000,0,0,3.16
0,0,1999,1000,3.54
7999,6000,0,0,3.31
5999,5000,0,0,3.50
14999,10000,0,0,3.31
5999,5000,3999,3000,3.39
3999,3000,0,0,3.23
14999,10000,2999,2000,3.51
3999,3000,1999,1000,3.48
19999,15000,19999,15000,3.57
19999,15000,5999,5000,3.53
0,0,1999,1000,3.42
0,0,3999,3000,3.39
4999,4000,1999,1000,3.23
1999,1000,1999,1000,3.64
2999,2000,3999,3000,3.40
1999,1000,999,999,3.04
5999,5000,0,0,3.38
2999,2000,1999,1000,3.54
4999,4000,1999,1000,3.50
1999,1000,4999,4000,3.14
1999,1000,0,0,3.43
0,0,0,0,3.05
3999,3000,1999,1000,3.06
1999,1000,1999,1000,3.07
3999,3000,0,0,3.18
3999,3000,0,0,3.20
999,999,2999,2000,3.59
0,0,1999,1000,3.39
1999,1000,999,999,3.01
2999,2000,0,0,3.48
1999,1000,2999,2000,3.14
3999,3000,0,0,3.52
4999,4000,3999,3000,3.18
5999,5000,0,0,3.33
0,0,999,999,3.33
1999,1000,999,999,3.01
0,0,999,999,3.25
0,0,999,999,3.12
14999,10000,0,0,3.19
7999,6000,3999,3000,3.30
2999,2000,2999,2000,3.27
14999,10000,0,0,3.50
1999,1000,999,999,3.07
2999,2000,999,999,3.24
0,0,2999,2000,3.33
14999,10000,5999,5000,3.70
3999,3000,3999,3000,3.51
0,0,1999,1000,3.38
14999,10000,0,0,3.16
9999,8000,0,0,3.57
1999,1000,1999,1000,3.31
3999,3000,3999,3000,3.41
2999,2000,0,0,3.59
2999,2000,1999,1000,3.65
14999,10000,0,0,3.35
0,0,999,999,3.25
1999,1000,999,999,3.49
4999,4000,1999,1000,3.42
4999,4000,1999,1000,3.19
0,0,1999,1000,3.31
1999,1000,0,0,3.38
3999,3000,1999,1000,3.48
3999,3000,0,0,3.25
2999,2000,1999,1000,3.18
3999,3000,0,0,3.23
0,0,1999,1000,3.36
0,0,1999,1000,3.33
999,999,1999,1000,3.06
7999,6000,0,0,3.39
5999,5000,3999,3000,3.58
3999,3000,0,0,3.20
9999,8000,0,0,3.40
14999,10000,0,0,3.09
7999,6000,2999,2000,3.39
2999,2000,0,0,3.35
9999,8000,0,0,3.31
2999,2000,1999,1000,3.18
4999,4000,0,0,3.08
0,0,1999,1000,3.17
9999,8000,3999,3000,3.56
9999,8000,9999,8000,3.43
3999,3000,2999,2000,3.39
3999,3000,0,0,3.53
3999,3000,0,0,3.53
0,0,999,999,3.22
0,0,1999,1000,3.48
5999,5000,1999,1000,3.36
1999,1000,4999,4000,3.25
3999,3000,0,0,3.31
0,0,2999,2000,3.45
999,999,0,0,3.03
2999,2000,0,0,3.33
1999,1000,999,999,3.04
3999,3000,1999,1000,3.38
0,0,1999,1000,3.30
4999,4000,999,999,3.45
3999,3000,3999,3000,3.59
1999,1000,1999,1000,3.06
1999,1000,999,999,3.27
0,0,2999,2000,3.08
0,0,1999,1000,3.27
2999,2000,2999,2000,3.08
999,999,999,999,3.32
7999,6000,0,0,3.49
0,0,999,999,3.36
14999,10000,1999,1000,3.52
7999,6000,2999,2000,3.42
2999,2000,1999,1000,3.39
1999,1000,1999,1000,3.24
2999,2000,1999,1000,3.30
1999,1000,1999,1000,3.06
0,0,2999,2000,3.45
5999,5000,999,999,3.37
1999,1000,999,999,3.39
14999,10000,0,0,3.62
9999,8000,0,0,3.39
1999,1000,999,999,3.47
5999,5000,0,0,3.29
0,0,2999,2000,3.09
2999,2000,1999,1000,3.45
2999,2000,1999,1000,3.36
1999,1000,1999,1000,3.07
7999,6000,1999,1000,3.47
2999,2000,999,999,3.23
7999,6000,0,0,3.59
19999,15000,0,0,3.67
3999,3000,3999,3000,3.46
2999,2000,0,0,3.34
3999,3000,0,0,3.08
0,0,1999,1000,3.27
4999,4000,0,0,3.28
3999,3000,0,0,3.24
3999,3000,1999,1000,3.38
0,0,1999,1000,3.35
19999,15000,0,0,3.37
1999,1000,999,999,3.26
4999,4000,0,0,3.45
999,999,999,999,3.38
0,0,1999,1000,3.23
4999,4000,999,999,3.32
4999,4000,1999,1000,3.40
7999,6000,1999,1000,3.41
14999,10000,0,0,3.17
9999,8000,5999,5000,3.54
5999,5000,9999,8000,3.42
14999,10000,0,0,3.68
2999,2000,2999,2000,3.16
1999,1000,1999,1000,3.49
7999,6000,2999,2000,3.36
2999,2000,2999,2000,3.32
2999,2000,1999,1000,3.06
4999,4000,0,0,3.31
5999,5000,1999,1000,3.30
2999,2000,1999,1000,3.43
999,999,999,999,3.04
5999,5000,1999,1000,3.57
3999,3000,2999,2000,3.37
0,0,999,999,3.43
2999,2000,1999,1000,3.08
4999,4000,0,0,3.47
7999,6000,1999,1000,3.35
0,0,2999,2000,3.36
14999,10000,14999,10000,3.76
2999,2000,1999,1000,3.59
0,0,2999,2000,3.42
2999,2000,0,0,3.06
0,0,2999,2000,3.13
2999,2000,2999,2000,3.37
1999,1000,1999,1000,3.01
5999,5000,1999,1000,3.44
14999,10000,0,0,3.39
