dinner_max_price,dinner_start_price,lunch_max_price,lunch_start_price,rating
9999,8000,2999,2000,3.09
9999,8000,2999,2000,3.37
3999,3000,0,0,3.21
14999,10000,0,0,3.54
29999,20000,9999,8000,3.09
9999,8000,0,0,3.09
29999,20000,0,0,3.08
3999,3000,0,0,3.09
9999,8000,0,0,3.33
7999,6000,0,0,3.64
19999,15000,5999,5000,3.09
5999,5000,0,0,3.34
9999,8000,0,0,3.46
7999,6000,0,0,3.45
5999,5000,0,0,3.37
14999,10000,1999,1000,3.09
2999,2000,999,999,3.32
9999,8000,2999,2000,3.61
19999,15000,0,0,3.34
3999,3000,0,0,3.09
9999,8000,2999,2000,3.30
0,0,0,0,3.34
39999,30000,39999,30000,3.09
29999,20000,9999,8000,3.56
4999,4000,3999,3000,3.84
29999,20000,0,0,3.09
3999,3000,1999,1000,3.09
9999,8000,2999,2000,3.13
3999,3000,1999,1000,3.46
9999,8000,5999,5000,3.47
5999,5000,1999,1000,3.05
3999,3000,1999,1000,3.00
4999,4000,2999,2000,3.37
4999,4000,1999,1000,3.33
19999,15000,4999,4000,3.44
4999,4000,1999,1000,3.33
9999,8000,3999,3000,3.50
14999,10000,0,0,3.09
19999,15000,14999,10000,3.36
29999,20000,14999,10000,3.62
3999,3000,3999,3000,3.00
14999,10000,1999,1000,3.09
14999,10000,0,0,3.09
14999,10000,1999,1000,3.37
5999,5000,0,0,3.43
3999,3000,1999,1000,3.00
2999,2000,2999,2000,3.09
9999,8000,2999,2000,3.44
14999,10000,0,0,3.09
3999,3000,1999,1000,3.19
4999,4000,0,0,3.25
3999,3000,0,0,3.37
3999,3000,1999,1000,3.30
2999,2000,999,999,3.55
4999,4000,0,0,3.09
3999,3000,1999,1000,3.52
5999,5000,2999,2000,3.53
29999,20000,5999,5000,3.63
14999,10000,0,0,3.26
14999,10000,2999,2000,3.34
14999,10000,2999,2000,3.25
14999,10000,1999,1000,3.45
3999,3000,999,999,3.18
4999,4000,999,999,3.07
9999,8000,2999,2000,3.08
4999,4000,0,0,3.09
14999,10000,2999,2000,3.34
7999,6000,9999,8000,3.34
14999,10000,5999,5000,3.13
14999,10000,1999,1000,3.52
7999,6000,0,0,3.30
7999,6000,0,0,3.09
14999,10000,0,0,3.26
7999,6000,2999,2000,3.30
4999,4000,0,0,3.23
14999,10000,5999,5000,3.09
9999,8000,0,0,3.31
7999,6000,1999,1000,3.09
9999,8000,1999,1000,3.09
3999,3000,1999,1000,3.09
3999,3000,1999,1000,3.21
9999,8000,0,0,3.01
1999,1000,1999,1000,3.39
9999,8000,7999,6000,3.22
5999,5000,1999,1000,3.30
3999,3000,2999,2000,3.20
4999,4000,0,0,3.41
7999,6000,2999,2000,3.43
14999,10000,1999,1000,3.23
14999,10000,5999,5000,3.51
9999,8000,4999,4000,3.08
19999,15000,0,0,3.20
9999,8000,4999,4000,3.25
3999,3000,999,999,3.08
19999,15000,4999,4000,3.09
4999,4000,2999,2000,3.09
14999,10000,5999,5000,3.60
5999,5000,2999,2000,3.52
3999,3000,2999,2000,3.09
3999,3000,0,0,3.09
9999,8000,0,0,3.34
4999,4000,0,0,3.57
7999,6000,0,0,3.32
7999,6000,1999,1000,3.30
3999,3000,3999,3000,3.52
14999,10000,0,0,3.17
14999,10000,4999,4000,3.06
3999,3000,999,999,3.10
5999,5000,3999,3000,3.09
19999,15000,3999,3000,3.09
7999,6000,4999,4000,3.50
14999,10000,0,0,3.61
3999,3000,2999,2000,3.37
14999,10000,2999,2000,3.52
9999,8000,0,0,3.53
19999,15000,0,0,3.06
4999,4000,1999,1000,3.31
29999,20000,0,0,3.60
14999,10000,3999,3000,3.30
9999,8000,2999,2000,3.51
14999,10000,0,0,3.25
14999,10000,0,0,3.51
14999,10000,5999,5000,3.43
4999,4000,0,0,3.25
5999,5000,0,0,3.25
7999,6000,2999,2000,3.01
4999,4000,1999,1000,3.89
4999,4000,0,0,3.54
19999,15000,0,0,3.44
14999,10000,0,0,3.13
3999,3000,2999,2000,3.04
2999,2000,999,999,3.55
14999,10000,2999,2000,3.02
14999,10000,0,0,3.09
9999,8000,0,0,3.02
3999,3000,0,0,3.49
14999,10000,1999,1000,3.44
4999,4000,0,0,3.09
7999,6000,1999,1000,3.54
14999,10000,0,0,3.37
14999,10000,0,0,3.22
19999,15000,9999,8000,3.53
9999,8000,0,0,3.16
2999,2000,1999,1000,3.09
9999,8000,3999,3000,3.66
3999,3000,0,0,3.25
3999,3000,1999,1000,3.30
9999,8000,3999,3000,3.30
3999,3000,999,999,3.04
3999,3000,1999,1000,3.37
3999,3000,1999,1000,3.46
3999,3000,0,0,3.09
14999,10000,0,0,3.37
3999,3000,999,999,3.09
3999,3000,1999,1000,3.23
14999,10000,3999,3000,3.55
9999,8000,4999,4000,3.54
3999,3000,1999,1000,3.21
3999,3000,999,999,3.33
14999,10000,4999,4000,3.52
2999,2000,999,999,3.04
19999,15000,0,0,3.65
7999,6000,0,0,3.08
2999,2000,1999,1000,3.43
4999,4000,1999,1000,3.22
14999,10000,2999,2000,3.09
19999,15000,0,0,3.51
7999,6000,2999,2000,3.34
3999,3000,0,0,3.06
3999,3000,0,0,3.44
5999,5000,1999,1000,3.34
9999,8000,1999,1000,3.20
3999,3000,1999,1000,3.68
29999,20000,14999,10000,3.30
3999,3000,1999,1000,3.65
4999,4000,0,0,3.11
4999,4000,999,999,3.08
3999,3000,1999,1000,3.11
3999,3000,1999,1000,3.06
14999,10000,1999,1000,3.56
5999,5000,1999,1000,3.09
19999,15000,0,0,3.24
3999,3000,1999,1000,3.35
4999,4000,999,999,3.20
4999,4000,1999,1000,3.26
3999,3000,0,0,3.02
3999,3000,999,999,3.08
4999,4000,0,0,3.41
3999,3000,0,0,3.50
4999,4000,0,0,3.04
2999,2000,999,999,3.44
3999,3000,0,0,3.49
14999,10000,4999,4000,3.22
9999,8000,1999,1000,3.08
3999,3000,1999,1000,3.25
3999,3000,3999,3000,3.30
3999,3000,0,0,3.51
3999,3000,999,999,3.20
1999,1000,1999,1000,3.08
3999,3000,1999,1000,3.21
4999,4000,0,0,3.56
4999,4000,999,999,3.18
3999,3000,0,0,3.26
7999,6000,0,0,3.55
14999,10000,0,0,3.08
3999,3000,999,999,3.07
9999,8000,1999,1000,3.58
2999,2000,2999,2000,3.06
3999,3000,0,0,3.26
3999,3000,999,999,3.32
14999,10000,2999,2000,3.02
2999,2000,0,0,3.06
9999,8000,1999,1000,3.58
7999,6000,1999,1000,3.25
29999,20000,0,0,3.09
3999,3000,999,999,3.05
3999,3000,999,999,3.08
2999,2000,1999,1000,3.24
3999,3000,1999,1000,3.06
3999,3000,1999,1000,3.06
5999,5000,1999,1000,3.25
9999,8000,5999,5000,3.35
29999,20000,0,0,3.81
14999,10000,1999,1000,3.14
7999,6000,999,999,3.24
14999,10000,4999,4000,3.43
1999,1000,999,999,3.15
4999,4000,999,999,3.18
2999,2000,999,999,3.28
4999,4000,1999,1000,3.06
19999,15000,4999,4000,3.30
3999,3000,0,0,3.34
4999,4000,1999,1000,3.51
4999,4000,0,0,3.34
4999,4000,1999,1000,3.08
5999,5000,0,0,3.37
3999,3000,2999,2000,3.00
4999,4000,1999,1000,3.47
3999,3000,1999,1000,3.41
3999,3000,0,0,3.26
5999,5000,1999,1000,3.36
4999,4000,999,999,3.13
4999,4000,0,0,3.06
3999,3000,2999,2000,3.08
9999,8000,2999,2000,3.36
2999,2000,0,0,3.15
3999,3000,999,999,3.03
3999,3000,0,0,3.03
19999,15000,0,0,3.07
7999,6000,2999,2000,3.31
3999,3000,1999,1000,3.39
3999,3000,1999,1000,3.37
19999,15000,0,0,3.08
4999,4000,1999,1000,3.22
4999,4000,1999,1000,3.14
7999,6000,0,0,3.08
14999,10000,0,0,3.15
3999,3000,1999,1000,3.06
7999,6000,0,0,3.50
4999,4000,1999,1000,3.18
3999,3000,999,999,3.01
3999,3000,1999,1000,3.38
4999,4000,0,0,3.07
3999,3000,0,0,3.15
3999,3000,1999,1000,3.38
4999,4000,999,999,3.29
3999,3000,1999,1000,3.14
2999,2000,1999,1000,3.39
7999,6000,999,999,3.22
5999,5000,1999,1000,3.20
3999,3000,999,999,3.03
5999,5000,999,999,3.36
4999,4000,1999,1000,3.23
7999,6000,0,0,3.54
3999,3000,0,0,3.21
3999,3000,1999,1000,3.07
5999,5000,0,0,3.06
4999,4000,1999,1000,3.50
2999,2000,999,999,3.52
5999,5000,0,0,3.40
7999,6000,2999,2000,3.45
5999,5000,0,0,3.28
5999,5000,0,0,3.68
7999,6000,1999,1000,3.31
3999,3000,1999,1000,3.37
4999,4000,1999,1000,3.51
2999,2000,999,999,3.33
9999,8000,0,0,3.57
9999,8000,2999,2000,3.13
7999,6000,0,0,3.32
4999,4000,999,999,3.14
9999,8000,999,999,3.42
7999,6000,0,0,3.07
9999,8000,2999,2000,3.43
7999,6000,3999,3000,3.10
9999,8000,0,0,3.04
2999,2000,0,0,3.04
4999,4000,0,0,3.33
3999,3000,0,0,3.02
19999,15000,0,0,3.38
29999,20000,0,0,3.06
5999,5000,0,0,3.18
5999,5000,999,999,3.21
