category,end_hour_1,end_hour_2,end_hour_3,end_hour_4,end_hour_5,end_hour_6,start_hour_1,start_hour_2,start_hour_3,start_hour_4,start_hour_5,start_hour_6
bbq,24:00,,,,,,18:00,,,,,
bbq,,,,,,,,,,,,
bbq,16:00,23:30,,,,,11:30,17:30,,,,
bbq,03:00,24:00,,,,,18:00,18:00,,,,
bbq,,,,,,,,,,,,
bbq,,,,,,,,,,,,
bbq,,,,,,,,,,,,
bbq,,,,,,,,,,,,
bbq,24:00,,,,,,17:00,,,,,
bbq,14:30,17:00,22:00,,,,11:00,14:00,17:00,,,
bbq,14:30,23:30,23:30,,,,11:30,17:00,17:00,,,
bbq,,,,,,,,,,,,
bbq,,,,,,,,,,,,
bbq,23:00,,,,,,15:00,,,,,
bbq,,,,,,,,,,,,
bbq,,,,,,,,,,,,
bbq,13:30,22:30,16:00,13:00,21:30,16:00,11:30,16:00,14:00,11:30,17:00,14:00
bbq,14:30,23:15,,,,,11:30,17:00,,,,
bbq,24:00,14:30,,,,,18:00,11:30,,,,
bbq,24:00,,,,,,17:00,,,,,
bbq,14:30,21:00,,,,,11:30,17:30,,,,
bbq,15:00,21:00,,,,,11:30,17:30,,,,
bbq,,,,,,,,,,,,
bbq,22:00,22:00,24:00,,,,17:00,16:00,17:00,,,
bbq,,,,,,,,,,,,
bbq,,,,,,,,,,,,
bbq,23:00,,,,,,17:00,,,,,
bbq,23:00,,,,,,18:00,,,,,
bbq,,,,,,,,,,,,
bbq,14:30,21:00,,,,,11:50,17:30,,,,
bbq,23:30,,,,,,17:00,,,,,
bbq,24:00,,,,,,17:00,,,,,
bbq,,,,,,,,,,,,
bbq,24:00,,,,,,17:00,,,,,
bbq,,,,,,,,,,,,
bbq,14:30,22:00,,,,,11:00,17:00,,,,
bbq,,,,,,,,,,,,
bbq,,,,,,,,,,,,
bbq,15:00,21:00,15:00,,,,11:00,17:30,11:00,,,
bbq,,,,,,,,,,,,
bbq,14:00,23:00,,,,,11:00,17:00,,,,
bbq,23:30,,,,,,17:00,,,,,
bbq,14:30,22:00,14:30,22:00,,,11:30,17:00,10:00,17:00,,
bbq,22:00,,,,,,17:00,,,,,
bbq,24:00,,,,,,18:00,,,,,
bbq,15:00,22:00,,,,,11:00,17:00,,,,
bbq,14:30,22:00,,,,,11:00,17:30,,,,
bbq,23:30,23:30,,,,,17:00,16:00,,,,
bbq,,,,,,,,,,,,
bbq,23:30,,,,,,17:00,,,,,
bbq,23:00,,,,,,14:00,,,,,
bbq,14:30,23:00,23:00,,,,11:30,17:00,17:00,,,
bbq,24:00,,,,,,18:00,,,,,
bbq,24:00,,,,,,17:00,,,,,
bbq,,,,,,,,,,,,
bbq,23:00,,,,,,17:00,,,,,
bbq,,,,,,,,,,,,
bbq,,,,,,,,,,,,
bbq,,,,,,,,,,,,
bbq,15:00,21:00,,,,,11:00,17:30,,,,
bbq,22:00,,,,,,15:00,,,,,
bbq,,,,,,,,,,,,
bbq,14:30,,,,,,11:00,,,,,
